"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-studie-logicalmodel","mii-lm-studie-logicalmodel","","","",0,*,"","","","null {[]} {[]}
","MII LM Studie LogicalModel","Logische Repräsentation der Forschungsvorhaben","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt","mii-lm-studie-logicalmodel.Studienleiter.Kontakt","","","",0,*,"","","","BackboneElement {[]} {[]}
","Kontakt eines Studienleiters","Kontakt eines Studienleiters","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.id","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.extension","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.modifierExtension","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Grad","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Grad","","","",0,*,"","","","string {[]} {[]}
","Grad eines Kontakts","Grad eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Grad",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Vorname","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Vorname","","","",0,*,"","","","string {[]} {[]}
","Vorname eines Kontakts","Vorname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Vorname",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Nachname","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Nachname","","","",0,*,"","","","string {[]} {[]}
","Nachname eines Kontakts","Nachname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Nachname",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse","","","",0,*,"","","","BackboneElement {[]} {[]}
","Adresse eines Kontakts","Adresse eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.id","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.extension","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.modifierExtension","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Strasse","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Strasse","","","",0,*,"","","","string {[]} {[]}
","Strasse einer Adresse","Strasse einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Strasse",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Hausnummer","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Hausnummer","","","",0,*,"","","","string {[]} {[]}
","Hausnummer einer Adresse","Hausnummer einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Hausnummer",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.PLZ","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.PLZ","","","",0,*,"","","","string {[]} {[]}
","PLZ einer Adresse","PLZ einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.PLZ",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Wohnort","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Wohnort","","","",0,*,"","","","string {[]} {[]}
","Wohnort einer Adresse","Wohnort einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Wohnort",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Land","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Land","","","",0,*,"","","","code {[]} {[]}
","Land einer Adresse","Land einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Adresse.Land",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Email","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Email","","","",0,*,"","","","string {[]} {[]}
","Email eines Kontakts","Email eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Email",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Tel","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Tel","","","",0,*,"","","","string {[]} {[]}
","Telefonnummer eines Kontakts","Telefonnummer eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Tel",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Zugehoerigkeit","mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Zugehoerigkeit","","","",0,*,"","","","string {[]} {[]}
","Zugehoerigkeit eines Kontakts","Zugehoerigkeit eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Kontakt.Zugehoerigkeit",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort","mii-lm-studie-logicalmodel.Studienleiter.Standort","","","",0,*,"","","","BackboneElement {[]} {[]}
","Standort eines Studienleiters","Standort eines Studienleiters","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studienleiter.Standort.id","mii-lm-studie-logicalmodel.Studienleiter.Standort.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.extension","mii-lm-studie-logicalmodel.Studienleiter.Standort.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Standort.modifierExtension","mii-lm-studie-logicalmodel.Studienleiter.Standort.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Strasse","mii-lm-studie-logicalmodel.Studienleiter.Standort.Strasse","","","",0,*,"","","","string {[]} {[]}
","Strasse einer Adresse","Strasse einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Strasse",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse","","","",0,*,"","","","BackboneElement {[]} {[]}
","Adresse eines Standorts","Adresse eines Standorts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.id","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.extension","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.modifierExtension","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Strasse","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Strasse","","","",0,*,"","","","string {[]} {[]}
","Strasse einer Adresse","Strasse einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Strasse",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Hausnummer","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Hausnummer","","","",0,*,"","","","string {[]} {[]}
","Hausnummer einer Adresse","Hausnummer einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Hausnummer",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.PLZ","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.PLZ","","","",0,*,"","","","string {[]} {[]}
","PLZ einer Adresse","PLZ einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.PLZ",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Wohnort","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Wohnort","","","",0,*,"","","","string {[]} {[]}
","Wohnort einer Adresse","Wohnort einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Wohnort",0,*,"",""
"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Land","mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Land","","","",0,*,"","","","code {[]} {[]}
","Land einer Adresse","Land einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Studienleiter.Standort.Adresse.Land",0,*,"",""
"mii-lm-studie-logicalmodel.Sponsor","mii-lm-studie-logicalmodel.Sponsor","","","",0,*,"","","","BackboneElement {[]} {[]}
","Studienleiter eines Sponsors","Studienleiter eines Sponsors","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Sponsor",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Sponsor.id","mii-lm-studie-logicalmodel.Sponsor.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Sponsor.extension","mii-lm-studie-logicalmodel.Sponsor.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Sponsor.modifierExtension","mii-lm-studie-logicalmodel.Sponsor.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Sponsor.Kontakt","mii-lm-studie-logicalmodel.Sponsor.Kontakt","","","",0,*,"","","","BackboneElement {[]} {[]}
","Kontakt eines Sponsors","Kontakt eines Sponsors","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Sponsor.Kontakt",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.id","mii-lm-studie-logicalmodel.Sponsor.Kontakt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.extension","mii-lm-studie-logicalmodel.Sponsor.Kontakt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.modifierExtension","mii-lm-studie-logicalmodel.Sponsor.Kontakt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Grad","mii-lm-studie-logicalmodel.Sponsor.Kontakt.Grad","","","",0,*,"","","","string {[]} {[]}
","Grad eines Kontakts","Grad eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Grad",0,*,"",""
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Vorname","mii-lm-studie-logicalmodel.Sponsor.Kontakt.Vorname","","","",0,*,"","","","string {[]} {[]}
","Vorname eines Kontakts","Vorname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Vorname",0,*,"",""
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Nachname","mii-lm-studie-logicalmodel.Sponsor.Kontakt.Nachname","","","",0,*,"","","","string {[]} {[]}
","Nachname eines Kontakts","Nachname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Nachname",0,*,"",""
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse","mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse","","","",0,*,"","","","BackboneElement {[]} {[]}
","Adresse eines Kontakts","Adresse eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse.id","mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse.extension","mii-lm-studie-logicalmodel.Sponsor.Kontakt.Adresse.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
